,species,Temp,W,Pcrit
308,paralichthys dentatus,22,569,5.67
309,paralichthys dentatus,30,569,8.19
310,pecten maximus,10,1,3.8744211
311,pecten maximus,18,1,5.0388646
312,pecten maximus,25,1,7.6429837
313,penaeus aztecus,20,NA,12.26565786
314,penaeus aztecus,30,NA,16.2653289
315,penaeus vannamei,29,0.824326881,1.974381382
316,penaeus vannamei,28,1.347020324,1.801139911
317,penaeus vannamei,29,2.456978004,2.138628013
318,penaeus vannamei,26,3.442021921,2.084415948
319,penaeus vannamei,23,5.332412717,1.834592288
320,penaeus vannamei,22,7.769863486,1.802540798
321,penaeus vannamei,25,11.96679251,2.084722645
322,phorcosergia bisulcata,5,2.54,3.506666667
323,phorcosergia bisulcata,10,2.54,5.226666667
324,phorcosergia bisulcata,20,2.54,9.973333333
325,pleuroncodes planipes,10,5,0.28
326,pleuroncodes planipes,15,5,0.3
327,pleuroncodes planipes,20,5,0.42
328,pleuroncodes planipes,25,5,0.63
329,salmo salar,18,425,11.644435
330,salmo salar,16,383,9.950699
331,salmo salar,12,460,8.256963
332,salmo salar,6,501,6.35151
333,salpa fusiformis,10,0.1865,1.9
334,salpa fusiformis,17,0.1865,3.4
335,sciaenops ocellatus,24,35.7,4.2
336,sciaenops ocellatus,30,40,5.053333333
337,scyliorhinus canicula,7,857,7.733333333
338,scyliorhinus canicula,12,788,8.666666667
339,scyliorhinus canicula,17,712,10.93333333
340,sepia officinalis,18,NA,2.1
341,sepia officinalis,22,NA,3.3
342,sergia fulgens,5,1.06,3.493333333
343,sergia fulgens,10,1.06,5.306666667
344,sergia fulgens,20,1.06,11.6
345,sergia grandis,14,0.713,4.4
346,sergia grandis,20,0.713,6.266666667
347,sergia tenuiremis,5,2.61,3.386666667
348,sergia tenuiremis,10,2.61,4.253333333
349,sergia tenuiremis,20,2.61,7.28
350,stenobrachius leucopsarus,5,4.3,1.58490566
351,stenobrachius leucopsarus,10,4.4,2.641509434
352,styela plicata,10,20,18.32
353,styela plicata,12.5,20,16.76
354,styela plicata,15,20,16.02666667
355,styela plicata,19.5,20,14.37333333
356,styela plicata,26.5,20,12.89333333
357,styela plicata,28.6,20,13.32
358,styela plicata,32,20,9.413333333
359,systellaspis debilis,7,1.118,3.333333333
360,systellaspis debilis,14,1.118,4
361,systellaspis debilis,20,1.118,4.933333333
362,systellaspis debilis,5,1.22,3.226666667
363,systellaspis debilis,10,1.22,4.666666667
364,systellaspis debilis,20,1.22,5.8
365,tarletonbeania crenularis,8,NA,3.962264151
366,tarletonbeania crenularis,13,NA,4.622641509
367,tautogolabrus adspersus,8,135.6,4.5307438
368,tautogolabrus adspersus,1,98.8,3.5780173
369,tigriopus brevicornis,20,2.00E-04,1.2
370,tigriopus brevicornis,30,2.00E-04,2.133333333
371,zoarces viviparus,12.25,47.43,4.4684722
372,zoarces viviparus,13.05,47.43,4.214983649
373,zoarces viviparus,14.55,47.43,5.139735018
374,zoarces viviparus,15.45,47.43,5.697143091
375,zoarces viviparus,16.95,47.43,7.186198053
376,zoarces viviparus,18.35,47.43,8.735834983
377,anoplopoma fimbria,12,675,1.145958538
378,menidia menidia,25,5.01,3.287501567
379,menidia menidia,18.5,4.98,2.106323497
380,menidia menidia,12,4.19,1.516393635
381,pseudopleuronectes americanus,25,1.95,2.645411417
382,pseudopleuronectes americanus,18.5,1.8,1.970431658
383,pseudopleuronectes americanus,12,2.45,1.299765973
384,sphoeroides maculatus,25,2.1,3.492970415
385,sphoeroides maculatus,18.5,3,2.083674857
386,sphoeroides maculatus,12,3.3,1.378539668
387,salmo salar,6,513,6.048882609
388,salmo salar,6,513,6.32892347
389,salmo salar,12,513,7.511365656
390,salmo salar,12,513,8.227030155
391,salmo salar,12,513,8.631536175
392,salmo salar,18,513,10.46743005
393,salmo salar,18,513,11.27644664
394,salmo salar,18,513,11.68095493
395,salmo salar,18,513,13.01894391
